season,week,season_type,game_date,home_team,away_team,home_score,away_score,home_win,elo_diff,pythagorean_diff,win_pct_diff,ppg_diff,papg_diff,net_ppg_diff,yds_per_play_diff,def_yds_per_play_diff,turnover_diff_diff,passer_rating_diff,third_down_diff,red_zone_diff,injury_impact_diff,qb_out_home,qb_out_away,rest_days_diff,short_week_home,short_week_away,wind_adj,precip_adj,temp_adj,altitude_adj,divisional_game,is_neutral,vegas_home_prob,mc_win_pct
2021,1,2,2021-09-10,TB,DAL,31,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-3.137,3.664,1.63,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,ATL,PHI,6,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-2.545,-6.838,-10.45,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,BUF,PIT,16,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.059,7.484,7.04,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,CIN,MIN,27,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,5.299,3.21,-0.76,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,DET,SF,33,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.053,-5.459,-20.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,TEN,ARI,13,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-10.671,-1.605,3.84,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,IND,SEA,16,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-9.577,3.646,-8.33,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,WAS,LAC,16,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-11.604,-6.41,-9.33,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,CAR,NYJ,19,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.481,-0.576,-1.71,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,HOU,JAX,37,21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.057,3.9,-0.07,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.53
2021,1,2,2021-09-12,KC,CLE,33,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.504,13.044,-1.71,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.5,0.53
2021,1,2,2021-09-12,NE,MIA,16,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.133,2.768,0.68,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0.5,0.53
